tequ_user_id;test_id;test_round;image_id;image_isic_id;tequ_no;tequ_correct;answer;manage;image_diag_id;tequ_mode_id;expected_accuracy_2pl;ability_2pl;age;yob;profession;gender
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;241251;ISIC_5728052;1;1;NV;manage_dismiss;NV;radio_radio_management47;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;241251;ISIC_5728052;2;1;NV;manage_monitor;NV;radio_radio_management47_help;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;244972;ISIC_1828351;3;0;NV;manage_dismiss;MEL;radio_radio_management47;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;244972;ISIC_1828351;4;0;VASC;manage_monitor;MEL;radio_radio_management47_help;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;242800;ISIC_8381176;5;0;VASC;manage_monitor;BKL;radio_radio_management47;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;242800;ISIC_8381176;6;0;DF;manage_monitor;BKL;radio_radio_management47_help;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;241012;ISIC_1063001;7;0;DF;manage_monitor;BCC;radio_radio_management47;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;241012;ISIC_1063001;8;1;BCC;manage_biopsy;BCC;radio_radio_management47_help;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;244095;ISIC_8291456;9;0;VASC;manage_monitor;BKL;radio_radio_management47;0,822346603;expert;;;boardCertifiedDermatologist;
45accf0ad769f505b9f19ea5e27410b6c4c45356;a1dd0e2aa353b1a15111f77101f30670c49e7f05;1;244095;ISIC_8291456;10;0;AKIEC;manage_monitor;BKL;radio_radio_management47_help;0,822346603;expert;;;boardCertifiedDermatologist;
