image_path,true_label,predicted_label,probability_class_0,probability_class_1,probability_class_2,probability_class_3,probability_class_4,probability_class_5,probability_class_6
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0025661.jpg,2,1,4.2801068e-07,0.9999448,1.903153e-13,1.0599825e-15,5.4759745e-05,1.3291191e-17,2.205212e-14
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0027850.jpg,2,2,1.2186284e-10,1.05876266e-10,1.0,1.5130929e-19,7.778713e-09,3.5040474e-13,5.944516e-18
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0029068.jpg,2,2,6.3316844e-14,1.036426e-22,1.0,1.3335982e-21,2.6612573e-21,4.2298967e-21,2.6087208e-27
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0025984.jpg,2,1,0.0016520964,0.9927537,3.6906274e-06,2.297507e-05,2.9723077e-07,0.0055671814,3.9584433e-11
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032417.jpg,2,2,9.0942365e-09,2.1639972e-23,1.0,3.652437e-23,1.8761649e-24,6.861147e-19,3.2441427e-19
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0027310.jpg,2,2,1.05876266e-10,3.887999e-23,1.0,5.591934e-22,6.807202e-13,5.862922e-19,4.3344365e-21
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0025937.jpg,2,2,4.779406e-14,4.424244e-21,1.0,1.84485e-19,5.0390238e-26,5.709891e-13,2.6798035e-17
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0027828.jpg,2,2,1.7859336e-14,1.3570451e-22,1.0,9.258388e-20,8.280397e-09,2.5253781e-09,3.8415554e-25
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0030698.jpg,2,2,2.5098045e-21,5.271334e-25,1.0,9.226424e-17,2.8096681e-14,2.3489677e-10,7.5963456e-24
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0024981.jpg,2,4,1.8458848e-12,1.8031249e-12,0.002434382,4.537174e-19,0.9975656,1.7901614e-08,4.770619e-10
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0027053.jpg,2,2,7.967301e-05,3.5143327e-19,0.99992037,2.9606904e-16,1.6585463e-12,3.388837e-14,1.8308943e-17
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0025819.jpg,2,0,0.99999976,3.2349132e-25,1.8553911e-07,6.661601e-27,4.554417e-23,1.9074412e-31,2.1005774e-26
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032013.jpg,2,0,0.9999995,3.9957764e-23,4.4508502e-07,2.2186513e-26,4.7458104e-22,5.8753314e-31,5.874061e-21
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0025099.jpg,2,2,1.9160272e-14,1.052433e-24,1.0,6.524877e-22,1.9444577e-20,1.1323171e-18,2.6260107e-22
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0029289.jpg,2,5,2.4140428e-23,1.4514776e-16,1.9050617e-13,4.6980933e-11,2.9311537e-05,0.9999707,6.56989e-15
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032283.jpg,2,0,0.9997991,4.028663e-06,0.00013134266,6.0411787e-10,6.552928e-05,7.928173e-11,3.06763e-13
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0031624.jpg,2,2,2.5291824e-12,1.8770053e-21,1.0,2.9678407e-20,1.8999813e-18,2.1840786e-20,1.0160636e-11
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0029060.jpg,2,0,0.9719925,1.3462584e-16,0.02800752,1.069785e-12,1.5819841e-08,1.3028759e-13,3.6211976e-08
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032306.jpg,2,0,0.9998977,1.2571988e-23,0.000102299855,3.8411624e-25,3.586821e-26,6.83944e-33,3.1807238e-23
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0027957.jpg,2,5,8.472652e-14,2.0725709e-13,0.024413258,2.6026926e-05,0.00037653334,0.97518414,3.8883875e-11
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032382.jpg,2,2,0.027168859,1.2777902e-05,0.97281736,9.96643e-09,6.247161e-11,8.0341465e-07,2.8312888e-07
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0029674.jpg,2,2,0.0003150387,9.806542e-12,0.99968493,3.979327e-15,3.7221437e-12,3.075571e-08,4.1003004e-18
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0024623.jpg,2,2,2.4075751e-15,2.8526356e-17,0.9999999,9.8777186e-18,1.1811349e-10,1.4908487e-07,1.6292899e-14
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032929.jpg,2,0,0.9999999,1.060041e-15,1.9780289e-10,5.3062706e-20,1.6066864e-16,1.1565619e-20,8.628371e-08
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0033900.jpg,2,2,4.902829e-10,5.302872e-21,0.9859364,3.092176e-10,0.0140636265,5.1675438e-11,8.4384085e-23
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0030276.jpg,2,2,6.904e-10,1.638865e-14,1.0,4.8859798e-20,2.5505416e-08,1.0686741e-13,1.8609856e-13
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0033465.jpg,2,2,0.0012091387,7.595172e-18,0.9113329,8.6232834e-18,0.08745797,1.8206048e-09,2.5361405e-16
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0029683.jpg,2,2,7.58256e-10,2.0649005e-23,1.0,2.673776e-19,4.1399378e-08,1.9062556e-09,4.708119e-10
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0032514.jpg,2,2,3.6478537e-05,5.2316185e-10,0.9999635,2.194689e-20,4.2609548e-11,1.0304745e-08,4.275078e-15
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0033910.jpg,2,0,0.9942648,4.947198e-06,0.0057302183,1.8558911e-19,9.239938e-21,1.1747263e-21,1.3849927e-17
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0033212.jpg,2,2,3.2290434e-11,4.0132144e-20,1.0,7.7333643e-22,7.7975085e-19,1.305837e-18,1.7144416e-26
/home/share/Uni_Eval/HAM10000_clean/ISIC2018/ISIC_0033601.jpg,2,2,1.4123679e-16,8.96952e-23,1.0,1.676978e-17,1.3046516e-11,8.777451e-11,8.589708e-25
